Brightness,Metric,Friedman Statistic,p-value
0.1,Mean Precision,20.0,0.000499
0.1,Mean Recall,20.0,0.000499
0.1,mAP@0.50,20.0,0.000499
0.1,mAP@0.75,20.0,0.000499
0.1,mAP@0.5:0.95,20.0,0.000499
0.2,Mean Precision,20.0,0.000499
0.2,Mean Recall,20.0,0.000499
0.2,mAP@0.50,20.0,0.000499
0.2,mAP@0.75,20.0,0.000499
0.2,mAP@0.5:0.95,20.0,0.000499
0.4,Mean Precision,19.36,0.000668
0.4,Mean Recall,20.0,0.000499
0.4,mAP@0.50,20.0,0.000499
0.4,mAP@0.75,20.0,0.000499
0.4,mAP@0.5:0.95,20.0,0.000499
0.6,Mean Precision,19.36,0.000668
0.6,Mean Recall,20.0,0.000499
0.6,mAP@0.50,20.0,0.000499
0.6,mAP@0.75,20.0,0.000499
0.6,mAP@0.5:0.95,20.0,0.000499
0.8,Mean Precision,19.04,0.000772
0.8,Mean Recall,19.36,0.000668
0.8,mAP@0.50,20.0,0.000499
0.8,mAP@0.75,20.0,0.000499
0.8,mAP@0.5:0.95,20.0,0.000499
