Metric,Noise Type,Seed,Value,Brightness,Gaussian Level
Mean Precision,Poisson-Gaussian,0,0.663869301,1.0,0.0
Mean Recall,Poisson-Gaussian,0,0.5269839312,1.0,0.0
mAP@0.50,Poisson-Gaussian,0,0.5682071662,1.0,0.0
mAP@0.75,Poisson-Gaussian,0,0.4242812757,1.0,0.0
mAP@0.5:0.95,Poisson-Gaussian,0,0.3991250608,1.0,0.0
Mean Precision,Poisson-Gaussian,0,0.6396947252,0.8,2.5
Mean Precision,Poisson-Gaussian,1,0.6494065669,0.8,2.5
Mean Precision,Poisson-Gaussian,2,0.653930578,0.8,2.5
Mean Precision,Poisson-Gaussian,3,0.653507582,0.8,2.5
Mean Precision,Poisson-Gaussian,4,0.6535364339,0.8,2.5
Mean Precision,Poisson-Gaussian,0,0.6485657352,0.8,5.0
Mean Precision,Poisson-Gaussian,1,0.6395766686,0.8,5.0
Mean Precision,Poisson-Gaussian,2,0.6379132768,0.8,5.0
Mean Precision,Poisson-Gaussian,3,0.6528961722,0.8,5.0
Mean Precision,Poisson-Gaussian,4,0.6579196215,0.8,5.0
Mean Precision,Poisson-Gaussian,0,0.6319255328,0.8,10.0
Mean Precision,Poisson-Gaussian,1,0.6340896416,0.8,10.0
Mean Precision,Poisson-Gaussian,2,0.6204827804,0.8,10.0
Mean Precision,Poisson-Gaussian,3,0.6343657316,0.8,10.0
Mean Precision,Poisson-Gaussian,4,0.6325559871,0.8,10.0
Mean Precision,Poisson-Gaussian,0,0.6063634981,0.8,15.0
Mean Precision,Poisson-Gaussian,1,0.6271598426,0.8,15.0
Mean Precision,Poisson-Gaussian,2,0.6076223961,0.8,15.0
Mean Precision,Poisson-Gaussian,3,0.6156597649,0.8,15.0
Mean Precision,Poisson-Gaussian,4,0.5985809703,0.8,15.0
Mean Precision,Poisson-Gaussian,0,0.5623334262,0.8,22.5
Mean Precision,Poisson-Gaussian,1,0.563479328,0.8,22.5
Mean Precision,Poisson-Gaussian,2,0.5508919372,0.8,22.5
Mean Precision,Poisson-Gaussian,3,0.5639808006,0.8,22.5
Mean Precision,Poisson-Gaussian,4,0.5614799303,0.8,22.5
Mean Precision,Poisson-Gaussian,0,0.6502508929,0.6,2.5
Mean Precision,Poisson-Gaussian,1,0.6348728755,0.6,2.5
Mean Precision,Poisson-Gaussian,2,0.6415637273,0.6,2.5
Mean Precision,Poisson-Gaussian,3,0.6416787496,0.6,2.5
Mean Precision,Poisson-Gaussian,4,0.6480976342,0.6,2.5
Mean Precision,Poisson-Gaussian,0,0.6344938303,0.6,5.0
Mean Precision,Poisson-Gaussian,1,0.636581328,0.6,5.0
Mean Precision,Poisson-Gaussian,2,0.6345146941,0.6,5.0
Mean Precision,Poisson-Gaussian,3,0.6351075813,0.6,5.0
Mean Precision,Poisson-Gaussian,4,0.6245936844,0.6,5.0
Mean Precision,Poisson-Gaussian,0,0.6143386623,0.6,10.0
Mean Precision,Poisson-Gaussian,1,0.6251733219,0.6,10.0
Mean Precision,Poisson-Gaussian,2,0.6101767419,0.6,10.0
Mean Precision,Poisson-Gaussian,3,0.6198686075,0.6,10.0
Mean Precision,Poisson-Gaussian,4,0.6205515703,0.6,10.0
Mean Precision,Poisson-Gaussian,0,0.5703266436,0.6,15.0
Mean Precision,Poisson-Gaussian,1,0.5847797638,0.6,15.0
Mean Precision,Poisson-Gaussian,2,0.5856694377,0.6,15.0
Mean Precision,Poisson-Gaussian,3,0.5650345077,0.6,15.0
Mean Precision,Poisson-Gaussian,4,0.563559466,0.6,15.0
Mean Precision,Poisson-Gaussian,0,0.5127180812,0.6,22.5
Mean Precision,Poisson-Gaussian,1,0.5101583416,0.6,22.5
Mean Precision,Poisson-Gaussian,2,0.5247393117,0.6,22.5
Mean Precision,Poisson-Gaussian,3,0.5108586732,0.6,22.5
Mean Precision,Poisson-Gaussian,4,0.5280810041,0.6,22.5
Mean Precision,Poisson-Gaussian,0,0.6348235243,0.4,2.5
Mean Precision,Poisson-Gaussian,1,0.6332621708,0.4,2.5
Mean Precision,Poisson-Gaussian,2,0.6319368541,0.4,2.5
Mean Precision,Poisson-Gaussian,3,0.6496377086,0.4,2.5
Mean Precision,Poisson-Gaussian,4,0.6293763664,0.4,2.5
Mean Precision,Poisson-Gaussian,0,0.6121726148,0.4,5.0
Mean Precision,Poisson-Gaussian,1,0.608543532,0.4,5.0
Mean Precision,Poisson-Gaussian,2,0.6059840572,0.4,5.0
