Metric,Noise Type,Noise Intensity,Seed,Value
Mean Precision,Gaussian,0.0,0,0.663869301
Mean Recall,Gaussian,0.0,0,0.5269839312
mAP@0.50,Gaussian,0.0,0,0.5682071662
mAP@0.75,Gaussian,0.0,0,0.4242812757
mAP@0.5:0.95,Gaussian,0.0,0,0.3991250608
Mean Precision,Gaussian,2.5,0,0.6597532468
Mean Precision,Gaussian,2.5,1,0.6599087167
Mean Precision,Gaussian,2.5,2,0.6640792045
Mean Precision,Gaussian,2.5,3,0.6622942796
Mean Precision,Gaussian,2.5,4,0.6607802989
Mean Precision,Gaussian,5.0,0,0.6546174761
Mean Precision,Gaussian,5.0,1,0.659182649
Mean Precision,Gaussian,5.0,2,0.659433214
Mean Precision,Gaussian,5.0,3,0.6573617705
Mean Precision,Gaussian,5.0,4,0.655306832
Mean Precision,Gaussian,10.0,0,0.6553855104
Mean Precision,Gaussian,10.0,1,0.6471585391
Mean Precision,Gaussian,10.0,2,0.6432987249
Mean Precision,Gaussian,10.0,3,0.6403523064
Mean Precision,Gaussian,10.0,4,0.6421468145
Mean Precision,Gaussian,15.0,0,0.6399856822
Mean Precision,Gaussian,15.0,1,0.6428130534
Mean Precision,Gaussian,15.0,2,0.6445757969
Mean Precision,Gaussian,15.0,3,0.6313393512
Mean Precision,Gaussian,15.0,4,0.6275669083
Mean Precision,Gaussian,22.5,0,0.5997769764
Mean Precision,Gaussian,22.5,1,0.593692884
Mean Precision,Gaussian,22.5,2,0.5902274284
Mean Precision,Gaussian,22.5,3,0.5993188692
Mean Precision,Gaussian,22.5,4,0.5928634529
Mean Recall,Gaussian,2.5,0,0.5229236152
Mean Recall,Gaussian,2.5,1,0.5240314222
Mean Recall,Gaussian,2.5,2,0.5225226484
Mean Recall,Gaussian,2.5,3,0.5220860313
Mean Recall,Gaussian,2.5,4,0.5235908697
Mean Recall,Gaussian,5.0,0,0.5159901754
Mean Recall,Gaussian,5.0,1,0.5131130935
Mean Recall,Gaussian,5.0,2,0.5168871623
Mean Recall,Gaussian,5.0,3,0.5163451774
Mean Recall,Gaussian,5.0,4,0.5182411219
Mean Recall,Gaussian,10.0,0,0.4913613953
Mean Recall,Gaussian,10.0,1,0.4998594639
Mean Recall,Gaussian,10.0,2,0.4922434111
Mean Recall,Gaussian,10.0,3,0.4939508147
Mean Recall,Gaussian,10.0,4,0.4934004447
Mean Recall,Gaussian,15.0,0,0.4579029171
Mean Recall,Gaussian,15.0,1,0.4626382511
Mean Recall,Gaussian,15.0,2,0.4597260004
Mean Recall,Gaussian,15.0,3,0.465747492
Mean Recall,Gaussian,15.0,4,0.46668363
Mean Recall,Gaussian,22.5,0,0.4173754304
Mean Recall,Gaussian,22.5,1,0.4205999909
Mean Recall,Gaussian,22.5,2,0.4172264557
Mean Recall,Gaussian,22.5,3,0.4125662796
Mean Recall,Gaussian,22.5,4,0.4158608642
mAP@0.50,Gaussian,2.5,0,0.564626814
mAP@0.50,Gaussian,2.5,1,0.5654666959
mAP@0.50,Gaussian,2.5,2,0.5659190942
mAP@0.50,Gaussian,2.5,3,0.5655664631
mAP@0.50,Gaussian,2.5,4,0.5653415124
mAP@0.50,Gaussian,5.0,0,0.557579398
mAP@0.50,Gaussian,5.0,1,0.5581289414
mAP@0.50,Gaussian,5.0,2,0.5587815564
mAP@0.50,Gaussian,5.0,3,0.5595210091
mAP@0.50,Gaussian,5.0,4,0.5575774601
mAP@0.50,Gaussian,10.0,0,0.5363842339
mAP@0.50,Gaussian,10.0,1,0.5369583753
mAP@0.50,Gaussian,10.0,2,0.53469862
mAP@0.50,Gaussian,10.0,3,0.5348763339
mAP@0.50,Gaussian,10.0,4,0.5350160827
mAP@0.50,Gaussian,15.0,0,0.5027318873
mAP@0.50,Gaussian,15.0,1,0.5075479863
mAP@0.50,Gaussian,15.0,2,0.5035230956
mAP@0.50,Gaussian,15.0,3,0.5046525602
mAP@0.50,Gaussian,15.0,4,0.504693979
mAP@0.50,Gaussian,22.5,0,0.4517599186
mAP@0.50,Gaussian,22.5,1,0.4524831283
mAP@0.50,Gaussian,22.5,2,0.4516961825
mAP@0.50,Gaussian,22.5,3,0.4492611836
mAP@0.50,Gaussian,22.5,4,0.4497324375
mAP@0.75,Gaussian,2.5,0,0.4211617617
mAP@0.75,Gaussian,2.5,1,0.4214758286
mAP@0.75,Gaussian,2.5,2,0.4220127426
mAP@0.75,Gaussian,2.5,3,0.4219223854
mAP@0.75,Gaussian,2.5,4,0.4222200651
mAP@0.75,Gaussian,5.0,0,0.4153058631
mAP@0.75,Gaussian,5.0,1,0.4149046678
mAP@0.75,Gaussian,5.0,2,0.4185945072
mAP@0.75,Gaussian,5.0,3,0.4150905164
mAP@0.75,Gaussian,5.0,4,0.4156731437
mAP@0.75,Gaussian,10.0,0,0.3914618595
mAP@0.75,Gaussian,10.0,1,0.3950290202
mAP@0.75,Gaussian,10.0,2,0.3916348431
mAP@0.75,Gaussian,10.0,3,0.3920357351
mAP@0.75,Gaussian,10.0,4,0.3941625354
mAP@0.75,Gaussian,15.0,0,0.3662623712
mAP@0.75,Gaussian,15.0,1,0.3657257465
mAP@0.75,Gaussian,15.0,2,0.3664889583
